21.34,4.45,14.67,2.97,12.09,2.59,0.71,0.45,0.21,54.3,10.55,52.58,102.03,0.1,0.79,0.26,53.44
24.26,4.32,14.79,2.98,11.48,2.48,0.68,0.34,0.2,48.83,10.84,50.94,102.34,0.1,0.77,0.28,54.06
22.25,4.73,13.5,2.86,12.29,2.33,0.75,0.43,0.22,50.7,9.94,46.56,99.69,0.09,0.8,0.26,50.55
23.38,4.85,14.39,2.92,12.34,2.63,0.61,0.38,0.15,49.61,9.83,48.75,96.72,0.1,0.77,0.3,51.09
20.25,4.4,15.16,2.84,11.5,2.52,0.67,0.49,0.3,51.33,9.22,54.92,107.03,0.06,0.74,0.24,53.75
23.41,4.44,15.59,2.7,12.25,2.41,0.72,0.31,0.15,46.17,9.36,55,102.5,0.07,0.73,0.23,54.22
22.01,4.95,15.77,2.87,11.64,2.36,0.65,0.49,0.29,52.27,10.41,46.02,90,0.06,0.75,0.23,54.14
22.82,4.68,16.17,2.74,12.11,2.71,0.77,0.3,0.16,47.11,9.98,45.86,93.28,0.06,0.73,0.24,49.69
20.36,4.09,14.27,2.82,11.74,2.74,0.75,0.39,0.25,53.52,10.48,47.73,101.88,0.06,0.79,0.28,52.81
24.68,4.12,14.16,2.86,11.54,2.3,0.64,0.41,0.14,46.41,9.97,46.33,103.91,0.06,0.79,0.25,52.27
20.46,4.93,14.93,2.87,12.03,2.29,0.75,0.34,0.22,53.28,9.33,50.39,95.47,0.06,0.78,0.29,52.19
24.4,4.94,14.25,2.93,11.6,2.75,0.7,0.48,0.16,48.13,9.48,51.72,95,0.07,0.78,0.25,50.86
22.39,4.28,16.36,2.81,12.27,2.61,0.61,0.37,0.23,53.91,9.02,47.11,108.13,0.09,0.73,0.21,52.66
23.63,4.25,16.27,2.91,11.46,2.37,0.78,0.41,0.14,48.91,9.03,48.2,106.88,0.1,0.74,0.22,51.72
21.41,4.52,16.43,2.84,12.42,2.36,0.61,0.33,0.3,53.05,10.69,52.5,94.69,0.08,0.73,0.21,51.25
23.77,4.73,16.45,2.72,11.68,2.51,0.8,0.45,0.15,49.22,10.92,51.17,96.56,0.08,0.73,0.21,54.84
21.27,4.21,14.11,3.15,11.35,2.6,0.74,0.4,0.14,50.94,10.25,51.02,94.06,0.1,0.7,0.28,45.7
24.61,4.37,14.3,3.17,12.3,2.35,0.63,0.4,0.25,45.39,10.19,52.19,98.75,0.08,0.71,0.27,49.77
21.06,4.75,14.34,3.01,11.78,2.27,0.74,0.41,0.15,54.22,9.63,49.84,104.22,0.1,0.71,0.27,45.55
